,provider,machine-name,location,cores,core/price,memory,memory/price,price
0,aws,YWZC5CAJ4FGUJF9U,ap-northeast-3,32.0,0.0009570809032451024,256,0.007656647225960819,33435.0
1,aws,AA7VEZ3SU7UCE6RH,ap-northeast-3,36.0,inf,72,inf,0.0
2,aws,BHH47PJVPTKS72H7,ap-northeast-3,2.0,0.0016326530612244899,8,0.006530612244897959,1225.0
3,aws,KYVDQ6HQPUBREMN5,ap-northeast-3,48.0,2.4888520170071553,192,9.955408068028621,19.286
4,aws,MB7JHWN6U3YASVUR,ap-northeast-3,48.0,inf,192,inf,0.0
5,aws,H7322BKN57WM6X9V,ap-northeast-3,64.0,inf,512,inf,0.0
6,aws,VUMF4U85R7VZC496,ap-northeast-3,36.0,4.5209092050734645,72,9.041818410146929,7.963
7,aws,VYH6TTYT7HJG54CJ,ap-northeast-3,32.0,2.4598354985010378,128,9.839341994004151,13.009
8,aws,PBABVYRRSCVT76Y6,ap-northeast-3,2.0,87.33624454148472,4,174.67248908296943,0.0229
9,aws,C29CW2XBY4JJZ7E6,ap-northeast-3,96.0,24.742268041237114,384,98.96907216494846,3.88
10,aws,EDVNA7RBMQZDYVA5,ap-northeast-3,16.0,0.0006744793862237586,128,0.0053958350897900685,23722.0
11,aws,JA6DUPPDCZFAJ45S,ap-northeast-3,96.0,inf,384,inf,0.0
12,aws,5JN5HHKFC9PQUZG5,ap-northeast-3,32.0,7.199100112485938,256,57.59280089988751,4.445
13,aws,Z6P3NDHDCQKZMCYZ,ap-northeast-3,8.0,14.814814814814813,64,118.5185185185185,0.54
14,aws,EAQUT4Q6CPRNR83H,ap-northeast-3,32.0,13.468013468013469,128,53.872053872053876,2.376
15,aws,HUNU5NS6HW5KSV9B,ap-northeast-3,16.0,2.1765746156985446,32,4.353149231397089,7.351
16,aws,2SKBXM2NUWTB9H36,ap-northeast-3,4.0,inf,8,inf,0.0
17,aws,CT5R27URU64QNZXD,ap-northeast-3,64.0,7.104795737122559,256,28.419182948490235,9.008
18,aws,BR8WXNJNV3H63Q6T,ap-northeast-3,36.0,9.80392156862745,60,16.33986928104575,3.672
20,aws,G5PJPHQ3MRBWD5D9,ap-northeast-3,4.0,4.733727810650888,75,88.75739644970415,0.845
21,aws,XNW6CBVFDTU5EPZD,ap-northeast-3,8.0,0.004550625711035267,64,0.03640500568828214,1758.0
22,aws,5HUYDWYG85U5V7HC,ap-northeast-3,72.0,54.0946656649136,144,108.1893313298272,1.331
23,aws,Z9BXM6566PR2M8UV,ap-northeast-3,96.0,21.122112211221122,384,84.48844884488449,4.545
24,aws,ZTTB2RC8K7VPKF52,ap-northeast-3,64.0,21.73913043478261,488,165.7608695652174,2.944
25,aws,M9AV2BN25AUCBQRY,ap-northeast-3,16.0,48.92966360856269,32,97.85932721712538,0.327
26,aws,2FX2QGME9DM89S4J,ap-northeast-3,16.0,52.11726384364821,128,416.9381107491857,0.307
27,aws,5JN5HHKFC9PQUZG5,ap-northeast-3,32.0,0.0021042940750969946,256,0.016834352600775957,15207.0
28,aws,ME2WWFG8FCG8ZCHQ,ap-northeast-3,72.0,0.0034318398474737846,144,0.006863679694947569,20980.0
29,aws,GGVFZGYEPC5RWSF3,ap-northeast-3,16.0,inf,128,inf,0.0
30,aws,8XKUXW3D7URJ9M8H,ap-northeast-3,8.0,11.383039271485487,32,45.53215708594195,0.7028
31,aws,PHJGMV7MGX97J4TW,ap-northeast-3,2.0,15.372790161414297,8,61.49116064565719,0.1301
32,aws,C22SMHBGBC2BWWWE,ap-northeast-3,2.0,0.002014098690835851,4,0.004028197381671702,993.0
33,aws,979YTQQUC6CQ2HQJ,ap-northeast-3,64.0,inf,488,inf,0.0
34,aws,PKWZ84MYDV6H7EUU,ap-northeast-3,96.0,4.132231404958678,768,33.057851239669425,23.232
35,aws,F74WE4VGDR8PYU6H,ap-northeast-3,4.0,0.0007537214999057848,8,0.0015074429998115696,5307.0
36,aws,AMVADSDZSVVXYH9K,ap-northeast-3,32.0,0.0010218745010378413,256,0.00817499600830273,31315.0
37,aws,B2B39N5CUHBJGK2R,ap-northeast-3,2.0,inf,8,inf,0.0
38,aws,5J8BVVPGXG8TCNZ8,ap-northeast-3,4.0,0.0039100684261974585,16,0.015640273704789834,1023.0
39,aws,CSZUBE7M94PACSDA,ap-northeast-3,4.0,0.0010118897040222615,16,0.004047558816089046,3953.0
40,aws,EDSVBNUEXC8TF6XU,ap-northeast-3,96.0,24.755028365136667,768,198.04022692109334,3.878
41,aws,KYU2S6F5SKHRKQT2,ap-northeast-3,8.0,8.302027770282891e-05,61,0.0006330296174840705,96362.0
42,aws,KNDB99XSC73Y8FC7,ap-northeast-3,72.0,18.69158878504673,144,37.38317757009346,3.852
43,aws,A2MYTDFND7EDZ3RY,ap-northeast-3,2.0,3.603603603603603,16,28.828828828828826,0.555
44,aws,9R84FMAUZ4JYUZDY,ap-northeast-3,64.0,9.268645908761766,488,70.67342505430847,6.905
45,aws,WSNZNGG9NZRTMJ2D,ap-northeast-3,8.0,2.0989111898202806,61,16.00419782237964,3.8115
46,aws,A6ZRTSKHJYEZSFPU,ap-northeast-3,64.0,13.946393549792981,512,111.57114839834385,4.589
47,aws,G336SJV33FXX5U8H,ap-northeast-3,96.0,0.0013786962703393603,768,0.011029570162714882,69631.0
48,aws,8PXVKUHCATQMJFZ9,ap-northeast-3,4.0,0.0038131553860819827,75,0.07149666348903717,1049.0
49,aws,R433ZEGT24W9SNX9,ap-northeast-3,4.0,2.442002442002442,75,45.78754578754579,1.638
50,aws,N338D9G4N7TU3NMD,ap-northeast-3,32.0,0.0002675026123301985,244,0.002039707419017764,119625.0
51,aws,HHHE92MTPSQKK5VR,ap-northeast-3,32.0,4.6082949308755765,244,35.13824884792627,6.944
52,aws,DBYRE52DG2PMH4H9,ap-northeast-3,64.0,41.157556270096464,256,164.63022508038586,1.555
53,aws,SYSV5W37EMUSRKWW,ap-northeast-3,36.0,19.747668678003294,244,133.84530992868898,1.823
54,aws,FRE7HEDBQPVFRCS2,ap-northeast-3,72.0,inf,144,inf,0.0
55,aws,MJ3HPNMEBZDH9UQR,ap-northeast-3,2.0,inf,375,inf,0.0
56,aws,PYAWSDP5CPWEBK8B,ap-northeast-3,16.0,inf,64,inf,0.0
57,aws,SGH63CEMQEKXKZYJ,ap-northeast-3,4.0,9.433962264150944,32,75.47169811320755,0.424
58,aws,2BG9N75KFS3KDKF6,ap-northeast-3,8.0,0.000892458723784025,61,0.0068049977688531904,8964.0
59,aws,8R8XWR92278QA6U5,ap-northeast-3,2.0,0.004739336492890996,8,0.018957345971563982,422.0
60,aws,7M883WBVY8D44BK3,ap-northeast-3,8.0,0.00026787209107651097,64,0.0021429767286120878,29865.0
61,aws,EMHSZYYU6TXXNZHV,ap-northeast-3,8.0,0.0033599328013439733,32,0.013439731205375893,2381.0
62,aws,SE5N5SYHEZ58GZNK,ap-northeast-3,36.0,69.90291262135922,72,139.80582524271844,0.515
63,aws,X6Q4SDD4RVNPNSN5,ap-northeast-3,72.0,0.0003997024437363296,144,0.0007994048874726593,180134.0
64,aws,4YC6EV3W9US32RPV,ap-northeast-3,8.0,0.0010031347962382445,64,0.008025078369905956,7975.0
65,aws,2DNRNFG3EYFKSPTE,ap-northeast-3,96.0,3.952569169960474,768,31.620553359683793,24.288
66,aws,9QS8GUD8UCYN2U3K,ap-northeast-3,4.0,7.104795737122559,16,28.419182948490235,0.563
67,aws,XNXKJRW469467W36,ap-northeast-3,1.0,inf,1,inf,0.0
68,aws,54NSRDUB5CCX9XBD,ap-northeast-3,8.0,1.5822784810126582,61,12.064873417721518,5.056
69,aws,DTHD3886VDRKUYA5,ap-northeast-3,40.0,inf,160,inf,0.0
70,aws,K7MMBFP9P8DFEGZE,ap-northeast-3,2.0,0.0012353304508956147,8,0.004941321803582459,1619.0
71,aws,SN6X5SPFURBM9BTD,ap-northeast-3,48.0,15.127639457926252,192,60.51055783170501,3.173
72,aws,5N89Q5YJCQD9Q3GF,ap-northeast-3,36.0,4.326403076553299,72,8.652806153106598,8.321
73,aws,NPTW7H6MEPJDZ835,ap-northeast-3,8.0,11.157601115760112,32,44.63040446304045,0.717
74,aws,M4UTP5MZDDFW9U5S,ap-northeast-3,2.0,0.0007137758743754461,8,0.0028551034975017845,2802.0
75,aws,6RT3GRQZ3KFAZ4X5,ap-northeast-3,16.0,0.0002442598925256473,30,0.00045798729848558865,65504.0
76,aws,M6T38WE97QADXTGS,ap-northeast-3,32.0,0.0005255723811713694,128,0.0021022895246854776,60886.0
78,aws,JXKBFKJF9SZZG9JY,ap-northeast-3,4.0,inf,8,inf,0.0
79,aws,R454GUX3MR8MRNHU,ap-northeast-3,4.0,12.861736334405144,16,51.446945337620576,0.311
80,aws,5V8T4ATYDNEP73Q6,ap-northeast-3,36.0,16.39344262295082,72,32.78688524590164,2.196
81,aws,V2PCFKKHUYKBWRNS,ap-northeast-3,96.0,2.070393374741201,384,8.281573498964804,46.368
82,aws,XGTE2HK9PQYFC4VX,ap-northeast-3,4.0,34.48275862068965,8,68.9655172413793,0.116
83,aws,XKN2WDPCMZBG4FC9,ap-northeast-3,8.0,4.875670404680643,61,37.17698683568991,1.6408
84,aws,N3HJ7PWYY35WDU2W,ap-northeast-3,8.0,inf,61,inf,0.0
85,aws,5V8T4ATYDNEP73Q6,ap-northeast-3,36.0,0.0031190434933287127,72,0.006238086986657425,11542.0
86,aws,YGPP33CBY4N387RV,ap-northeast-3,4.0,9.174311926605505,32,73.39449541284404,0.436
87,aws,4YC5BWRMVM4MSYG8,ap-northeast-3,16.0,0.0004971877816102669,122,0.0037910568347782852,32181.0
88,aws,MMFWZQ5GKDJY23JW,ap-northeast-3,8.0,inf,64,inf,0.0
89,aws,QX4X9HP277DZT8SS,ap-northeast-3,16.0,2.1214531954388756,64,8.485812781755502,7.542
90,aws,76N89RTB84F3TX7E,ap-northeast-3,96.0,4.933449817565137,768,39.467598540521095,19.459
91,aws,MECZ3JQ6UDPKFRYB,ap-northeast-3,4.0,inf,32,inf,0.0
92,aws,T6VFK3W8DJRWNMSD,ap-northeast-3,2.0,inf,16,inf,0.0
93,aws,3QAXZETMD5ZY25N7,ap-northeast-3,4.0,0.0026578073089701,8,0.0053156146179402,1505.0
94,aws,6DPRNCMSX3AR4ERR,ap-northeast-3,1.0,inf,5,inf,0.0
95,aws,7AJJZQUANTY7NAG5,ap-northeast-3,64.0,2.1806535146001567,512,17.445228116801253,29.349
96,aws,U4BN2KRX46KP89HA,ap-northeast-3,2.0,inf,4,inf,0.0
97,aws,NUVUKYC4HA8XUVCS,ap-northeast-3,48.0,43.875685557586834,384,351.0054844606947,1.094
98,aws,3QAXZETMD5ZY25N7,ap-northeast-3,4.0,47.61904761904761,8,95.23809523809523,0.084
99,aws,EN8RPD4VWDKFKQKG,ap-northeast-3,2.0,0.00011972463334331038,8,0.0004788985333732415,16705.0
100,aws,R5M36Y4YQ89MNAAQ,ap-northeast-3,8.0,0.0005256932579839664,64,0.004205546063871731,15218.0
101,aws,B5Y8BG4GTKXW7M9G,ap-northeast-3,2.0,inf,1525,inf,0.0
102,aws,2GVPQNX2GVF7MAEZ,ap-northeast-3,16.0,18.93491124260355,64,75.7396449704142,0.845
103,aws,Q6PQEXNPV5KZC264,ap-northeast-3,96.0,2.3265958993747273,768,18.61276719499782,41.262
104,aws,BUNYEBTJ2H4DEZ9S,ap-northeast-3,2.0,0.00012038764822729188,1525,0.09179558177331006,16613.0
105,aws,8HE59SX4X7E4QRUM,ap-northeast-3,2.0,7.692307692307692,1525,5865.384615384615,0.26
106,aws,CDJXQ77DB2S4NMJN,ap-northeast-3,2.0,inf,2,inf,0.0
107,aws,U9F38XNMBWYSGAJU,ap-northeast-3,96.0,inf,768,inf,0.0
108,aws,KF39B9PXYG23SBST,ap-northeast-3,2.0,8.583690987124463,4,17.167381974248926,0.233
109,aws,EPX4UTP2AHA29CPW,ap-northeast-3,2.0,0.05555555555555555,1,0.027777777777777776,36.0
110,aws,DNXJEUMFBRYE8Z5M,ap-northeast-3,48.0,48.632218844984806,384,389.05775075987845,0.987
111,aws,B23YMF7WCUGKWAUJ,ap-northeast-3,8.0,25.641025641025642,16,51.282051282051285,0.312
112,aws,SZWHT86B75WWRTTJ,ap-northeast-3,4.0,0.002177463255307567,32,0.017419706042460535,1837.0
113,aws,ZXKXC22SG7JQQUCA,ap-northeast-3,36.0,17.857142857142858,60,29.761904761904763,2.016
114,aws,FHAQNQHFTR5MDKDS,ap-northeast-3,8.0,8.48518274962347e-05,32,0.0003394073099849388,94282.0
115,aws,JV5E9JKJW57ZN7UA,ap-northeast-3,16.0,2.14938205265986,122,16.389038151531434,7.444
116,aws,DW7H6TDB3K4E94F2,ap-northeast-3,2.0,inf,1525,inf,0.0
117,aws,VVHU3D37NF7FKP7Z,ap-northeast-3,16.0,2.266931141966563,64,9.067724567866252,7.058
118,aws,7YTVXAC7FZKRWJZJ,ap-northeast-3,32.0,1.9169711855268674,244,14.616905289642364,16.693
119,aws,794JB7NZ2T2TMUGX,ap-northeast-3,8.0,0.0038703434929850023,61,0.029511369134010642,2067.0
120,aws,44XURUQQZJ5UWYNZ,ap-northeast-3,96.0,4.387969649876588,768,35.103757199012705,21.878
121,aws,MVHGZ3R9UXGKBM4Q,ap-northeast-3,36.0,71.2871287128713,72,142.5742574257426,0.505
122,aws,759CD28VFJD2KFYJ,ap-northeast-3,8.0,32.92181069958848,32,131.6872427983539,0.243
123,aws,UFF8WCZAAENXYADH,ap-northeast-3,4.0,inf,32,inf,0.0
124,aws,RMNW8WWM9URTHTKZ,ap-northeast-3,4.0,0.0020253164556962027,32,0.01620253164556962,1975.0
125,aws,YWZC5CAJ4FGUJF9U,ap-northeast-3,32.0,16.623376623376622,256,132.98701298701297,1.925
126,aws,NP6Z63SCY294ZHTA,ap-northeast-3,72.0,20.100502512562816,144,40.20100502512563,3.582
127,aws,9Q7Z5JKUPYY6GT54,ap-northeast-3,4.0,8.097165991902834,32,64.77732793522267,0.494
128,aws,WJQKXAGC5P5KJ8CW,ap-northeast-3,4.0,6.369426751592357,8,12.738853503184714,0.628
129,aws,4798CM8K7D3JXU27,ap-northeast-3,8.0,inf,16,inf,0.0
130,aws,5C3GNP6WUK8242D2,ap-northeast-3,4.0,5.333333333333333,75,100.0,0.75
131,aws,3PVWQ7Q89Y5VNM9N,ap-northeast-3,32.0,0.0022662889518413596,128,0.009065155807365438,14120.0
132,aws,SM2QPVF45AKYDJ7T,ap-northeast-3,4.0,inf,16,inf,0.0
133,aws,HFM539VBG92952J7,ap-northeast-3,16.0,14.146772767462423,32,28.293545534924846,1.131
134,aws,585PRS5CHJKRNPBQ,ap-northeast-3,4.0,0.004371584699453552,32,0.034972677595628415,915.0
135,aws,YSSAXBVT3GCN36Z4,ap-northeast-3,8.0,0.0005001562988433886,15,0.0009377930603313535,15995.0
136,aws,GVSY8PYMG9CCUV79,ap-northeast-3,8.0,inf,32,inf,0.0
137,aws,JNBS2SBGQM8ZBW2H,ap-northeast-3,4.0,0.0005124263387138099,16,0.0020497053548552396,7806.0
138,aws,SYSV5W37EMUSRKWW,ap-northeast-3,36.0,0.0005650072195366941,244,0.0038294933768598153,63716.0
139,aws,N7Y3GYH969RSSZ3W,ap-northeast-3,4.0,2.233389168062535,16,8.93355667225014,1.791
140,aws,M7GS7PXDXXFFBAYQ,ap-northeast-3,48.0,38.897893030794165,384,311.1831442463533,1.234
141,aws,VZUZNB9KVQ4U734F,ap-northeast-3,64.0,12.497559070494043,512,99.98047256395235,5.121
142,aws,F8EG44PTDYY8B557,ap-northeast-3,2.0,29.850746268656714,4,59.70149253731343,0.067
143,aws,EJTWFFPZ6UXEYDH7,ap-northeast-3,64.0,10.652463382157125,512,85.219707057257,6.008
144,aws,TGSWGM4Z3SC9HWRH,ap-northeast-3,2.0,0.004301075268817204,8,0.017204301075268817,465.0
145,aws,G7F8MWCHME6DFF7Z,ap-northeast-3,96.0,28.251912889935255,384,113.00765155974102,3.398
146,aws,WZZVTVJCGSTJG3GB,ap-northeast-3,4.0,9.97506234413965,32,79.8004987531172,0.401
147,aws,ZMS75T4XXWXUKZ77,ap-northeast-3,32.0,0.0017779753305922881,128,0.0071119013223691525,17998.0
148,aws,PN94RWW5EU79T3HB,ap-northeast-3,4.0,15.873015873015873,32,126.98412698412699,0.252
149,aws,AU5B98U9NUJAMQCN,ap-northeast-3,8.0,inf,32,inf,0.0
150,aws,GRD4MG89ZKVX8VUE,ap-northeast-3,8.0,inf,61,inf,0.0
151,aws,2ZH4JNDHTH3CTN4U,ap-northeast-3,32.0,0.003948667324777887,128,0.01579466929911155,8104.0
