,provider,machine-name,location,cores,core/price,memory,memory/price,price
0,aws,374RZA5GU889PR28,eu-north-1,96.0,inf,384,inf,0.0
1,aws,FN6M9QEZ5TU9SN49,eu-north-1,4.0,inf,16,inf,0.0
2,aws,4EMT4NYZATA7UVU8,eu-north-1,64.0,0.00023742306936092389,488,0.0018103509038770445,269561.0
3,aws,5AREUGY7F5NGB89G,eu-north-1,4.0,inf,8,inf,0.0
4,aws,5KND53VVEGQNXYCE,eu-north-1,96.0,inf,768,inf,0.0
5,aws,ZE9RNKG5VBGP9HBG,eu-north-1,96.0,inf,768,inf,0.0
6,aws,U8AYDJE62Z8MBYD2,eu-north-1,96.0,inf,192,inf,0.0
7,aws,MGAUWE5HVEYBBV36,eu-north-1,96.0,inf,768,inf,0.0
8,aws,KFJCFVTGKSWBMK44,eu-north-1,64.0,12.032336905433352,512,96.25869524346682,5.319
9,aws,D984MFBTM54CX26Q,eu-north-1,16.0,32.19315895372233,32,64.38631790744466,0.497
10,aws,K5VQMMTEGWK5QJZ8,eu-north-1,48.0,inf,192,inf,0.0
11,aws,BVEJB4U2P5BDDXXB,eu-north-1,2.0,31.25,4,62.5,0.064
12,aws,8DAKCX6RME893UJM,eu-north-1,16.0,0.0015104314169734731,128,0.012083451335787785,10593.0
13,aws,N5P9G8NDCCXW4W5M,eu-north-1,8.0,inf,32,inf,0.0
14,aws,9HS3EDHVN53VS7GE,eu-north-1,48.0,10.921501706484642,96,21.843003412969285,4.395
15,aws,MTPYV6NMYBJZSWX9,eu-north-1,48.0,inf,192,inf,0.0
16,aws,4RAS5ANAWP9MMM2R,eu-north-1,32.0,4.523607577042692,244,34.492507774950525,7.074
17,aws,FUB7Q54ZGEMZPF29,eu-north-1,8.0,inf,61,inf,0.0
18,aws,TKD5VURM27KQ4Q2X,eu-north-1,72.0,0.00020160838690889542,144,0.00040321677381779085,357128.0
19,aws,K3AATTH3E9EEER84,eu-north-1,8.0,5.730659025787966,61,43.69627507163324,1.396
20,aws,4AK5V7RGYFGT9MAW,eu-north-1,2.0,16.39344262295082,16,131.14754098360655,0.122
21,aws,VS8EDMTTCTYWC9ZA,eu-north-1,32.0,inf,256,inf,0.0
22,aws,DCPU7QJJFXUVZZSV,eu-north-1,4.0,0.0004886391399951136,32,0.003909113119960909,8186.0
23,aws,EGTS89BS4Y33BZZH,eu-north-1,96.0,5.555555555555555,384,22.22222222222222,17.28
24,aws,JW86Q2CFJHK9G3HY,eu-north-1,96.0,inf,768,inf,0.0
25,aws,MC2YZMPVTPUSTWR8,eu-north-1,96.0,10.995304088878708,192,21.990608177757416,8.731
26,aws,7ZGB8DXRY6Y4QMHY,eu-north-1,72.0,inf,144,inf,0.0
27,aws,EH9AEFRDR9572ZBF,eu-north-1,32.0,inf,128,inf,0.0
28,aws,DBDE2KKUGBHV56BM,eu-north-1,32.0,24.04207362885049,256,192.3365890308039,1.331
29,aws,S3J7H4YQBH6AHAB2,eu-north-1,96.0,20.06269592476489,192,40.12539184952978,4.785
30,aws,3GNBHUNDX9YVYTRK,eu-north-1,8.0,59.83545250560957,32,239.34181002243827,0.1337
31,aws,XW4WMZ8XXC5EUNA6,eu-north-1,8.0,4.11946446961895,61,31.410916580844493,1.942
32,aws,WG733QKQB69F9VA2,eu-north-1,32.0,inf,128,inf,0.0
33,aws,FQ7WQXBPC3KMM8MC,eu-north-1,48.0,0.007602153943617358,96,0.015204307887234716,6314.0
34,aws,2SXCNHKG2F5Y9TU2,eu-north-1,36.0,inf,72,inf,0.0
35,aws,G7SKFYJ7B8P7MGY4,eu-north-1,4.0,inf,305,inf,0.0
36,aws,QW24SYHVB54QK2DR,eu-north-1,2.0,0.0019029495718363464,16,0.015223596574690771,1051.0
37,aws,A4M8XXSUVCJT79U8,eu-north-1,64.0,inf,256,inf,0.0
38,aws,VH483FADF5PBYEWP,eu-north-1,2.0,0.0008417508417508417,4,0.0016835016835016834,2376.0
39,aws,9AUMDHEWXYQA7RPU,eu-north-1,16.0,5.1020408163265305,128,40.816326530612244,3.136
